Id|ExportNaarOrafin|NaamAflopend sorteren|Alternatieve naam subsidieregister
DVR000001724|True|Steunpunt WVG (de kindcheck)|Steunpunt WVG (de kindcheck)
DVR000001725|True|Mobiel aanbod taal en ontwikkelingsstimulering|Mobiel aanbod taal en ontwikkelingsstimulering
DVR000001726|True|Subsidie adoptie - Begeleiding ongepland zwangeren|Subsidie adoptie - Begeleiding ongepland zwangeren
DVR000001727|True|Subsidie adoptie - Facultatieve subsidie MO|Subsidie adoptie - Facultatieve subsidie MO
DVR000001728|True|Subsidie adoptie - Forfaitaire subsidie informatiegesprekken|Subsidie adoptie - Forfaitaire subsidie informatiegesprekken
DVR000001729|True|Subsidie adoptie - Basissubsidie BIAD|Subsidie adoptie - Basissubsidie BIAD
DVR000001730|True|Subsidie adoptie - Basissubsidie|Subsidie adoptie - Basissubsidie
DVR000001733|True|Prijsuitreikingen van de KAGB aan onderzoekers|Prijsuitreikingen van de KAGB aan onderzoekers
DVR000001734|True|Prijsuitreikingen van de KAGB aan onderwijsinstellingen van de institutionele overheid|Prijsuitreikingen van de KAGB aan onderwijsinstellingen van de institutionele overheid
DVR000001737|True|Tegemoetkoming van de Vlaamse Sociale Bescherming voor niet-medische zorg (tenlasteneming)|Tegemoetkoming van de Vlaamse Sociale Bescherming voor niet-medische zorg (tenlasteneming)
DVR000001738|True|Werkingssubsidies aan zorgkassen|Werkingssubsidies aan zorgkassen
DVR000001739|True|Specifieke werkingssubsidie Vlaamse Zorgkas|Specifieke werkingssubsidie Vlaamse Zorgkas
DVR000001740|True|Vergoeding voor indicatiestellers zorgkassen|Vergoeding voor indicatiestellers zorgkassen
DVR000001741|True|Basisondersteuningsbudget zorgkassen|Basisondersteuningsbudget zorgkassen
DVR000001742|True|Subsidie tenlastenemingen aan zorgkassen|Subsidie tenlastenemingen aan zorgkassen
DVR000001743|True|Investeringssubsidie aan de zorgkassen|Investeringssubsidie aan de zorgkassen
DVR000001744|True|Zorgbudget voor zwaar zorgbehoevenden|Zorgbudget voor zwaar zorgbehoevenden
DVR000001745|True|Zorgbudget voor ouderen met zorgnood|Zorgbudget voor ouderen met zorgnood
DVR000001746|True|Zorgbudget voor mensen met een handicap|Zorgbudget voor mensen met een handicap
DVR000001749|True|Facultatieve subsidies ikv eerstelijnsgezondheidszorg|Facultatieve subsidies ikv eerstelijnsgezondheidszorg
DVR000001750|True|Reglementaire subsidies samenwerkingsinitiatieven eerstelijnsgezondheidszorg (SEL)|Reglementaire subsidies samenwerkingsinitiatieven eerstelijnsgezondheidszorg (SEL)
DVR000001751|True|Reglementaire subsidies voor erkende palliatieve samenwerkingsverbanden|Reglementaire subsidies voor erkende palliatieve samenwerkingsverbanden
DVR000001752|True|Reglementaire subsidies voor erkende netwerken palliatieve zorg|Reglementaire subsidies voor erkende netwerken palliatieve zorg
DVR000001753|True|Reglementaire subsidie huisartsenkringen (HAK)|Reglementaire subsidie huisartsenkringen (HAK)
DVR000001754|True|financiële ondersteuning huisartsenpraktijken (impulseo)|financiële ondersteuning huisartsenpraktijken (impulseo)
