Id|NaamAflopend sorteren|nieuwe verantwoordelijke entiteit|nieuwe OVO-code verantw ent
DVR000002764|Beroepsinlevingsstage (BIS)|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000002765|Aanmelding en erkenning van een toeristisch logies|Toerisme Vlaanderen|OVO000034
DVR000002767|Persoonlijk assistentiebudget voor personen met een handicap (PAB)|Vlaams Agentschap voor Personen met een Handicap|OVO000060
DVR000002768|Rechtstreeks toegankelijke hulp (RTH) voor personen met een handicap|Vlaams Agentschap voor Personen met een Handicap|OVO000060
DVR000002769|BE-Alert waarschuwingssysteem bij noodsituaties|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002770|Uw handicap laten erkennen en hulp aanvragen bij het VAPH|Vlaams Agentschap voor Personen met een Handicap|OVO000060
DVR000002771|Bijkomende sluitingspremie|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002772|Afzonderlijke sluitingspremie|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002773|Sportmateriaal lenen|Sport Vlaanderen|OVO000070
DVR000002774|Bekers en medailles aanvragen voor een sportevenement|Sport Vlaanderen|OVO000070
DVR000002775|Een jachtplan bekijken of aanpassen|Agentschap voor Natuur en Bos|OVO000089
DVR000002776|Ondersteuning voor leerlingen met specifieke onderwijsbehoeften|Departement Onderwijs en Vorming|OVO000049
DVR000002778|Niet-dringende interventies van de brandweer bij extreem weer|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002779|Erkenning als EPB-verslaggever|Vlaams Energieagentschap|OVO000090
DVR000002780|Vrijstelling van de jaarlijkse verkeersbelasting en de BIV voor milieuvriendelijke voertuigen|Vlaamse Belastingdienst|OVO000031
DVR000002781|Gelijkwaardigheidserkenning van een buitenlands diploma of getuigschrift in Vlaanderen|Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen|OVO001951
DVR000002782|Verlaagde schenkbelasting voor een energetische renovatie van een gebouw|Vlaamse Belastingdienst|OVO000031
DVR000002783|Bewegen op verwijzing|Vlaams Instituut Gezond Leven|OVO027400
DVR000002784|City Pass|Vlaamse Vervoermaatschappij - De Lijn|OVO000100
DVR000002785|Voorleessoftware voor leerlingen met een leesbeperking|Departement Onderwijs en Vorming|OVO000049
DVR000002786|Europese handicapkaart of European Disability Card (EDC)|Europese Commissie|OVO004097
DVR000002787|Passende beoordeling|Agentschap voor Natuur en Bos|OVO000089
DVR000002788|Gratis verzekering voor vrijwilligers|Departement Cultuur, Jeugd en Media/ Departement Welzijn, Volksgezondheid en Gezin|OVO000067/ OVO000056
DVR000002789|Aanpassing van de geslachtsregistratie|Federale Overheidsdienst Justitie|OVO003988
DVR000002790|Het Groeipakket|Vlaams Agentschap voor de Uitbetaling van Toelagen in het kader van het Gezinsbeleid|OVO008643
DVR000002791|De voortoets|Agentschap voor Natuur en Bos|OVO000089
DVR000002792|Erkenning als airco-energiedeskundige|Departement Omgeving|OVO003323
DVR000002793|Jaarlijkse aangifte van waterverbruik (grootverbruikers)|Vlaamse Milieumaatschappij|OVO000092
DVR000002794|Energetische keuring van airconditioningsystemen|Departement Omgeving|OVO003323
DVR000002795|Rookstopbegeleiding|Agentschap Zorg en Gezondheid|OVO000059
DVR000002796|Ventilatiesysteem aanmelden voor de totaalrenovatiebonus (BENO-pass)|Vlaams Energieagentschap|OVO000090
DVR000002797|CurieuzeNeuzen Vlaanderen (onderzoek luchtkwaliteit)|Vlaamse Milieumaatschappij|OVO000092
DVR000002798|Erkenning als technicus voor klimaatregelingsapparatuur in bepaalde motorvoertuigen|Departement Omgeving|OVO003323
DVR000002799|Wijk-werken|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000002800|Attest van wettelijke samenwoning|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002801|Vergoeding voor schade door slechte staat van de weg of door wegenwerken|Agentschap Wegen en Verkeer|OVO000098
DVR000002802|Attest van verblijfplaats met het oog op een huwelijk|Federale Overheidsdienst Buitenlandse Zaken, Buitenlandse Handel En Ontwikkelingssamenwerking|OVO024762
DVR000002803|Overheidsopdrachten voor werken|Europese Unie|OVO027501
DVR000002804|Overheidsopdrachten voor leveringen|Europese Unie|OVO027501
DVR000002805|Overheidsopdrachten voor diensten|Europese Unie|OVO027501
DVR000002806|Attest van wijze van teraardebestelling en/of rituelen|Agentschap Binnenlands Bestuur|OVO001835
DVR000002807|Attest van Belgische kiezer|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002808|Akte van prenatale erkenning|Federale Overheidsdienst Justitie|OVO003988
DVR000002809|Akte van erkenning|Federale Overheidsdienst Justitie|OVO003988
DVR000002810|Opleidingsdatabank opleidingsverlof WSE|Departement Werk en Sociale Economie|OVO000076
DVR000002811|Uittreksel uit het bevolkingsregister|Federale Overheidsdienst Binnenlandse Zaken|OVO008237
DVR000002813|Akte van verklaring van naamskeuze|Federale Overheidsdienst Justitie|OVO003988
DVR000002814|Akte van naamsverandering|Federale Overheidsdienst Justitie|OVO003988
DVR000002815|Akte van voornaamsverandering|Federale Overheidsdienst Justitie|OVO003988
DVR000002816|Akte van aanpassing van de registratie van het geslacht|Federale Overheidsdienst Justitie|OVO003988
DVR000002817|Akte van betwisting vaderschap|Federale Overheidsdienst Justitie|OVO003988
DVR000002818|Akte van Belgische nationaliteit|Federale Overheidsdienst Justitie|OVO003988
DVR000002819|Akte van een levenloos kind|Federale Overheidsdienst Justitie|OVO003988
DVR000002820|Vakantie voor oudere werknemers die het werk hervatten - seniorvakantie|Rijksdienst voor Arbeidsvoorziening|OVO025169
DVR000002821|Kinderbijslag tot 18 jaar|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002822|Reisdocument voor staatlozen, vluchtelingen en vreemdelingen|Federale Overheidsdienst Buitenlandse Zaken, Buitenlandse Handel En Ontwikkelingssamenwerking|OVO024762
DVR000002823|Jaarlijkse verkeersbelasting voor oldtimers|Vlaamse Belastingdienst|OVO000031
DVR000002824|Verkooprecht sinds 1 juni 2018|Vlaamse Belastingdienst|OVO000031
DVR000002825|Erkenning als metaaldetectorist|Onroerend Erfgoed|OVO000104
DVR000002826|Erkenning als archeoloog|Onroerend Erfgoed|OVO000104
DVR000002827|Ontheffing van het ontbossingsverbod|Agentschap voor Natuur en Bos|OVO000089
DVR000002828|Vakantieschakel|Toerisme Vlaanderen|OVO000034
DVR000002829|Belasting op de inverkeerstelling (BIV) voor oldtimers|Vlaamse Belastingdienst|OVO000031
DVR000002830|Onbelast bijverdienen|Rijksdienst voor Sociale Zekerheid|OVO015466
DVR000002831|Toeslag op de kinderbijslag voor langdurig zieken en arbeidsongeschikten|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002832|Mobiliteitsvergoeding (cash for car)|Federale Overheidsdienst Financiën|OVO005190
DVR000002833|Mobiliteitsbudget|Federale Overheidsdienst Financiën|OVO005190
DVR000002834|Praktisch jachtexamen|Agentschap voor Natuur en Bos|OVO000089
DVR000002835|Theoretisch jachtexamen|Agentschap voor Natuur en Bos|OVO000089
DVR000002836|Subsidie voor een volkstuin 2018|Vlaamse Landmaatschappij|OVO000094
DVR000002837|Generieke terugmelding|agentschap Informatie Vlaanderen|OVO002949
DVR000002838|Kadastraal uittreksel|Federale Overheidsdienst Financiën|OVO005190
DVR000002839|De sociale toeslag (Groeipakket)|Vlaams Agentschap voor de Uitbetaling van Toelagen in het kader van het Gezinsbeleid|OVO008643
DVR000002840|De zorgtoeslagen (groeipakket)|Vlaams Agentschap voor de Uitbetaling van Toelagen in het kader van het Gezinsbeleid|OVO008643
DVR000002841|De kinderopvangtoeslag (Groeipakket)|Vlaams Agentschap voor de Uitbetaling van Toelagen in het kader van het Gezinsbeleid|OVO008643
DVR000002842|De kleutertoeslag (Groeipakket)|Vlaams Agentschap voor de Uitbetaling van Toelagen in het kader van het Gezinsbeleid|OVO008643
DVR000002843|De schooltoeslag vanaf schooljaar 2019-2020 (Groeipakket)|Vlaams Agentschap voor de Uitbetaling van Toelagen in het kader van het Gezinsbeleid|OVO008643
DVR000002844|Startbedrag (Groeipakket)|Vlaams Agentschap voor de Uitbetaling van Toelagen in het kader van het Gezinsbeleid|OVO008643
DVR000002845|Basisbedrag (Groeipakket)|Vlaams Agentschap voor de Uitbetaling van Toelagen in het kader van het Gezinsbeleid|OVO008643
DVR000002846|Schoolbonus (Groeipakket)|Vlaams Agentschap voor de Uitbetaling van Toelagen in het kader van het Gezinsbeleid|OVO008643
DVR000002848|Student-zelfstandige|Rijksinstituut voor de Sociale Verzekeringen der Zelfstandigen|OVO027187
DVR000002849|Maaltijdcheques|Federale Overheidsdienst Werkgelegenheid, Arbeid en Sociaal Overleg|OVO004018
DVR000002850|Bewijs van beroepsbekwaamheid voor gereglementeerde beroepen|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002852|Mijn Burgerprofiel| agentschap Informatie Vlaanderen|OVO002949
DVR000002853|Vrijstelling doorstorting bedrijfsvoorheffing voor onderzoekers|Federale Overheidsdienst Financiën|OVO005190
DVR000002854|Erkenning van technici voor elektrische schakelinrichtingen|Departement Omgeving|OVO003323
DVR000002855|Verlaagde schenkbelasting voor een gebouw met conformiteitsattest dat verhuurd wordt|Vlaamse Belastingdienst|OVO000031
DVR000002856|Schadevergoeding van het Vlaams Rampenfonds|Departement Kanselarij en Bestuur|OVO001827
DVR000002857|Pleegzorgtoeslag (Groeipakket)|Vlaams Agentschap voor de Uitbetaling van Toelagen in het kader van het Gezinsbeleid|OVO008643
DVR000002858|Wezentoeslag (Groeipakket)|Vlaams Agentschap voor de Uitbetaling van Toelagen in het kader van het Gezinsbeleid|OVO008643
DVR000002859|Aanloopsteun voor de ontwikkeling van kleine landbouwbedrijven|Departement Landbouw en Visserij|OVO000082
DVR000002860|Huurwaarborglening van het Vlaams Woningfonds|Vlaams Woningfonds|OVO001729
DVR000002861|Premie van de netbeheerder voor een warmtepompboiler|Vlaams Energieagentschap|OVO000090
DVR000002862|Vrijstelling van de onroerende voorheffing na verbouwing van een handelspand|Vlaamse Belastingsdienst|OVO000031
DVR000002863|Vrijstelling van de onroerende voorheffing na sloop en vervanging van een ongeschikte of onbewoonbare woning|Vlaamse Belastingsdienst|OVO000031
DVR000002864|Vrijstelling van de onroerende voorheffing na sloop en vervanging van een leegstaande of verwaarloosde bedrijfsruimte|Vlaamse Belastingsdienst|OVO000031
DVR000002865|Gedeeltelijke vrijstelling van de onroerende voorheffing na verbouwing van een handelspand in een kernwinkelgebied|Vlaamse Belastingsdienst|OVO000031
DVR000002866|Vrijstelling van de onroerende voorheffing na verbouwing van een handelspand in een winkelarm gebied|Vlaamse Belastingsdienst|OVO000031
DVR000002867|Sloop- en heropbouwpremie|Vlaams Energieagentschap|OVO000090
DVR000002868|Toelating om in een maatwerkplaats te werken|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000002875|Ondersteuning via opvoedingswinkels|Opvoedingswinkels|OVO027538
DVR000002876|Loopbaanbegeleiding|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000002877|Subsidies voor projecten in de cultureel-erfgoedsector|Departement Cultuur, Jeugd en Media|OVO000067
DVR000002878|Erkenning als natuurreservaat|Agentschap voor Natuur en Bos|OVO000089
DVR000002879|Erkenning en subsidiëring van de dagcentra voor palliatieve zorg|Agentschap Zorg en Gezondheid|OVO000059
DVR000002880|Erkenning en subsidiëring van de dagverzorgingscentra voor ouderen|Agentschap Zorg en Gezondheid|OVO000059
DVR000002881|Erkenning en subsidiëring van de centra voor kortverblijf voor ouderen|Agentschap Zorg en Gezondheid|OVO000059
DVR000002882|Erkenning en subsidiëring van de sector samenlevingsopbouw|Departement Welzijn, Volksgezondheid en Gezin|OVO000056
DVR000002883|Erkenning en subsidiëring van de samenwerkingsinitiatieven eerstelijnsgezondheidszorg (SEL)|Agentschap Zorg en Gezondheid|OVO000059
DVR000002884|Subsidies voor internationale topsportevenementen|Sport Vlaanderen|OVO000070
DVR000002885|Erkenning en subsidiëring van Toerisme voor Allen-verblijven|Toerisme Vlaanderen|OVO000034
DVR000002886|Erkenning en subsidiëring van de woonzorgcentra en rust- en verzorgingstehuizen.|Agentschap Zorg en Gezondheid|OVO000059
DVR000002887|Erkenning en subsidiëring van serviceflats voor ouderen|Agentschap Zorg en Gezondheid|OVO000059
DVR000002888|Subsidie voor circuskunsten|Departement Cultuur, Jeugd en Media|OVO000067
DVR000002889|Vlaamse aanpassingspremie|Wonen-Vlaanderen|OVO000106
DVR000002890|Subsidies voor een jeugdverblijfcentrum en hostel|Departement Cultuur, Jeugd en Media|OVO000067
DVR000002892|Onderhoudspremie en beheerspremie voor varend erfgoed|Onroerend Erfgoed|OVO000104
DVR000002893|Woonkrediet van het Vlaams Woningfonds|Vlaams Woningfonds|OVO001729
DVR000002894|Outplacement voor werknemers|Rijksdienst voor Arbeidsvoorziening|OVO025169
DVR000002895|Schadevergoeding bij een landbouwramp|Departement Landbouw en Visserij|OVO000082
DVR000002896|Stagebonus|Departement Werk en Sociale Economie|OVO000076
DVR000002897|Vlaamse doelgroepvermindering voor jongeren|Departement Werk en Sociale Economie|OVO000076
DVR000002898|Vlaamse doelgroepvermindering voor oudere werknemers|Departement Werk en Sociale Economie|OVO000076
DVR000002899|Erfgoedpremie beschermde monumenten en landschappen - bijzondere procedure|Onroerend Erfgoed|OVO000104
DVR000002900|Subsidie voor een diversiteitsplan|Departement Werk en Sociale Economie|OVO000076
DVR000002901|Subsidie aan havenbedrijven voor bepaalde havenkapiteinsdiensten|Departement Mobiliteit en Openbare Werken|OVO000096
DVR000002902|Start- en investeringssteun visserij- en aquacultuursector|Departement Landbouw en Visserij|OVO000082
DVR000002903|De Lijn - Buzzy Pazz of Omnipas bij inleveren nummerplaat|Vlaamse Vervoermaatschappij - De Lijn|OVO000100
DVR000002904|Vlaams innovatienetwerk (VIN)|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002905|KidsInvest|ParticipatieMaatschappij Vlaanderen|OVO000044
DVR000002906|Projectgebonden subsidies of medefinanciering aan havenbedrijven|Departement Mobiliteit en Openbare Werken|OVO000096
DVR000002907|Medefinanciering instandhouding en onderhoud maritieme toegangswegen|Departement Mobiliteit en Openbare Werken|OVO000096
DVR000002908|Kwaliteitsmerk voor autosnelwegparkings in Vlaanderen|Departement Mobiliteit en Openbare Werken|OVO000096
DVR000002909|Seed & Early Stage|ParticipatieMaatschappij Vlaanderen|OVO000044
DVR000002910|Archief - Voordelige lening voor innoverende onderneming (Innovatiemezzanine)|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002911|Erkenning classificeerders voor de indeling van geslachte runderen|Departement Landbouw en Visserij|OVO000082
DVR000002912|Erkenning classificeerders voor de indeling van geslachte varkens|Departement Landbouw en Visserij|OVO000082
DVR000002913|Archief - Erkenning toezichthouders op de indeling van geslachte runderen en varkens|Departement Landbouw en Visserij|OVO000082
DVR000002914|Erkenning gespecialiseerd pluimveebedrijf|Departement Landbouw en Visserij|OVO000082
DVR000002915|Kwaliteitscontrole en herkomstcontrole bosbouwkundig teeltmateriaal|Departement Landbouw en Visserij|OVO000082
DVR000002916|Kwaliteitscontrole en certificering aardappelpootgoed|Departement Landbouw en Visserij|OVO000082
DVR000002917|Subsidie schoolmelk|Departement Landbouw en Visserij|OVO000082
DVR000002918|Erkenning operator van aardappelpootgoed|Departement Landbouw en Visserij|OVO000082
DVR000002919|Erkenning leverancier van bosbouwkundig teeltmateriaal|Departement Landbouw en Visserij|OVO000082
DVR000002920|Erkenning loontrieerder van zaaizaden|Departement Landbouw en Visserij|OVO000082
DVR000002921|Erkenning operator actief in de sector zaaizaad (productie en handel)|Departement Landbouw en Visserij|OVO000082
DVR000002922|Erkenning operator van teeltmateriaal fruit-, groente- en siergewassen|Departement Landbouw en Visserij|OVO000082
DVR000002923|Kwaliteitscontrole en certificering fruitgewassen|Departement Landbouw en Visserij|OVO000082
DVR000002924|Kwaliteitscontrole en certificering zaaizaden|Departement Landbouw en Visserij|OVO000082
DVR000002925|Kwaliteitscontrole groentegewassen|Departement Landbouw en Visserij|OVO000082
DVR000002926|Kwaliteitscontrole siergewassen|Departement Landbouw en Visserij|OVO000082
DVR000002927|Erkenning hopbereider|Departement Landbouw en Visserij|OVO000082
DVR000002928|Kwaliteitscontrole en certificering hop|Departement Landbouw en Visserij|OVO000082
DVR000002929|Erkenning fokkersverenigingen - Bijhouden rasstamboeken|Departement Landbouw en Visserij|OVO000082
DVR000002930|Erkenning fokkersverenigingen - bijhouden registers hybride dieren|Departement Landbouw en Visserij|OVO000082
DVR000002931|Zoötechnische erkenning centra voor sperma, eicellen of embryo|Departement Landbouw en Visserij|OVO000082
DVR000002932|Erkenning keuringsinstelling koeltechnische bedrijven en examencentra|Departement Omgeving|OVO003323
DVR000002933|Aanmelden nieuw ras van landbouw- of groentegewassen|Departement Landbouw en Visserij|OVO000082
DVR000002934|Erkenning en subsidiëring voorzieningen opvang van kinderen met een handicap|Vlaams Agentschap voor Personen met een Handicap|OVO000060
DVR000002935|Erkenning en subsidiëring ambulante begeleidingsdiensten gehandicapten|Vlaams Agentschap voor Personen met een Handicap|OVO000060
DVR000002936|Persoonlijke-assistentiebudget voor personen met een handicap|Vlaams Agentschap voor Personen met een Handicap|OVO000060
DVR000002937|Tegemoetkoming voor hulpmiddelen voor personen met een handicap|Vlaams Agentschap voor Personen met een Handicap|OVO000060
DVR000002938|Archief - Aanmelden en vergunnen van een toeristisch logies|Departement Buitenlandse Zaken|OVO000032
DVR000002939|Subsidie originele en innoverende stadsprojecten|Agentschap Binnenlands Bestuur|OVO001835
DVR000002940|Tegemoetkoming voor bijzonder cultuuraanbod Podium|Departement Cultuur, Jeugd en Media|OVO000067
DVR000002941|Opname in het aanbod Podium|Departement Cultuur, Jeugd en Media|OVO000067
DVR000002943|Inkomensgarantie voor ouderen|Federale Pensioendienst|OVO024764
DVR000002944|Kinderbijslag van 18 tot 25 jaar|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002945|Gewaarborgd kraamgeld|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002946|Gewaarborgde gezinsbijslag|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002947|Jaarlijkse bijslag bij het kindergeld (schoolpremie)|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002948|Toeslag bij de kinderbijslag voor langdurig werklozen en gepensioneerden|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002949|Wezenbijslag|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002950|Initio, een voordelige lening voor zelfstandigen en kleine ondernemingen|ParticipatieMaatschappij Vlaanderen|OVO000044
DVR000002951|Toeslag bij de kinderbijslag voor eenoudergezinnen|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002952|Toeslag op de kinderbijslag voor kinderen met een handicap|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002953|Loopbaanonderbreking in de openbare sector|Rijksdienst voor Arbeidsvoorziening|OVO025169
DVR000002954|Steun voor een portfolio van haalbaarheidsstudies voor bedrijven|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002955|Vrijstelling schenkingsrechten voor overdracht familiale ondernemingen en vennootschappen|Vlaamse Belastingsdienst|OVO000031
DVR000002956|Vermindering erfbelasting voor overdracht familiale ondernemingen en vennootschappen|Vlaamse Belastingsdienst|OVO000031
DVR000002957|Verslag voor toegang tot het buitengewoon onderwijs|Agentschap voor Onderwijsdiensten|OVO000050
DVR000002958|Belastingvermindering voor verhuurders die renoveren en hun woningen verhuren aan sociaal verhuurkantoor.|Federale Overheidsdienst Financiën|OVO005190
DVR000002959|Uw handicap laten erkennen en hulp aanvragen bij het VAPH|Vlaams Agentschap voor Personen met een Handicap|OVO000060
DVR000002960|Young in BXL - subsidie voor Straatburgerschap|Agentschap Binnenlands Bestuur|OVO001835
DVR000002961|Europese gehandicaptenkaart|Europese Commissie|OVO004097
DVR000002962|Subsidie voor het correct afstellen van verwarmingsinstallaties op school|Agentschap voor Infrastructuur in het Onderwijs|OVO000053
DVR000002963|Het Persoonsvolgend budget voor personen met een handicap (PVB)|Vlaams Agentschap voor Personen met een Handicap|OVO000060
DVR000002964|Tegemoetkoming voor hulpmiddelen voor personen met een handicap|Vlaams Agentschap voor Personen met een Handicap|OVO000060
DVR000002965|Kinderbijslag tot 18 jaar|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002966|Toeslag op de kinderbijslag voor langdurig zieken en arbeidsongeschikten|Federaal Agentschap voor de kinderbijslag|OVO003903
DVR000002967|Werkingssubsidie voor de werking van het Kenniscentrum Vlaamse Steden|Agentschap Binnenlands Bestuur|OVO001835
DVR000002968|Raamcontracten buiten de basis scope van Het Facilitair Bedrijf-raamcontracten|agentschap Facilitair Bedrijf|OVO001834
DVR000002969|Toegangsbeheer|agentschap Facilitair Bedrijf|OVO001834
DVR000002970|Digitale handtekening|agentschap Facilitair Bedrijf|OVO001834
DVR000002971|Gebruikersbeheer|agentschap Facilitair Bedrijf|OVO001834
DVR000002972|Generiek Informatieplatform Openbaar Domein (GIPOD)|Agentschap Informatie Vlaanderen|OVO002949
DVR000002973|Informatiecatalogus|Agentschap Informatie Vlaanderen|OVO002949
DVR000002974|Interbestuurlijke Product- en Dienstencatalogus (IPDC)|Agentschap Informatie Vlaanderen|OVO002949
DVR000002975|Vlaams Open data Portaal|Agentschap Informatie Vlaanderen|OVO002949
DVR000002976|Begeleiding van ondernemingen bij business case|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002977|Vlimpers module Vacaturemarkt|Agentschap Overheidspersoneel|OVO001833
DVR000002978|Premie voor diplomagerichte opleidingen in het secundair volwassenenonderwijs|Agentschap voor Hoger Onderwijs, Volwassenenonderwijs, Kwalificaties en Studietoelagen|OVO001951
DVR000002979|Individuele ontheffing voor verboden activiteiten in het Vlaams Ecologisch Netwerk|Agentschap voor Natuur en Bos|OVO000089
DVR000002980|Aanvragen en rapporteren afwijking op het soortenbesluit en jachtregelgeving|Agentschap voor Natuur en Bos|OVO000089
DVR000002981|Indienen jachtplan|Agentschap voor Natuur en Bos|OVO000089
DVR000002982|Melding bestrijding (canadese gans, damhert, edelhert, grauwe gans, houtduif, kievit, konijn, moeflon, smient, vos, wild zwijn, wilde eend)|Agentschap voor Natuur en Bos|OVO000089
DVR000002983|Melding bijzondere jacht (canadese gans, damhert, edelhert, grauwe gans, houtduif, kievit, konijn, moeflon, smient, vos, wild zwijn, wilde eend)|Agentschap voor Natuur en Bos|OVO000089
DVR000002984|Staalname everzwijn|Agentschap voor Natuur en Bos|OVO000089
DVR000002985|Vergunning voor het wijzigen van vegetarie of van kleine landschapselementen|Agentschap voor Natuur en Bos|OVO000089
DVR000002986|Verwijderen van een perceel uit een jachtplan|Agentschap voor Natuur en Bos|OVO000089
DVR000002987|Wildrapport|Agentschap voor Natuur en Bos|OVO000089
DVR000002988|Certificatie van schepen|De Vlaamse Waterweg|OVO000112
DVR000002989|Duplicaat van een Verklaring matroos|De Vlaamse Waterweg|OVO000112
DVR000002990|informatieverstrekking binnenvaart (River Information Services)|De Vlaamse Waterweg|OVO000112
DVR000002991|Verklaring matroos|De Vlaamse Waterweg|OVO000112
DVR000002992|Radarpatent|De Vlaamse Waterweg|OVO000112
DVR000002993|Rijnpatent|De Vlaamse Waterweg|OVO000112
DVR000002994|verkoop van vaarvignet (pleziervaart)|De Vlaamse Waterweg|OVO000112
DVR000002995|Beurs voor het doorgeven van vakmanschap in een meester-leerling-traject|Departement Cultuur, Jeugd en Media|OVO000067
DVR000002996|attestering Federale wetgeving tax shelter audiovisueel|Departement Financiën en Begroting|OVO000029
DVR000002997|erkenningsprocedure Mediadecreet erkenningen lokale radio's|Departement Kanselarij en Bestuur|OVO001827
DVR000002998|Geïntegreerde woonbonus|Departement Kanselarij en Bestuur|OVO001827
DVR000002999|Advies verlenen en communicatie verspreiden over de Nederlandse taal via de Taaltelefoon|Departement Kanselarij en Bestuur|OVO001827
DVR000003000|Erkennen van algemene rampen en schadebedragen uitbetalen aan geteisterden (Rampenfonds)|Departement Landbouw en Visserij|OVO000082
DVR000003001|Goedkeuren van jachtplannen en toekennen van jachtverloven en -vergunningen|Departement Landbouw en Visserij|OVO000082
DVR000003002|Subsidie aan Fonds voor Scheepsjongeren|Departement Landbouw en Visserij|OVO000082
DVR000003003|Erkenning als centrum voor voortplantingstechnieken|Departement Landbouw en Visserij|OVO000082
DVR000003004|Erkenning van het bedrijf ikv pluimveehouderij|Departement Landbouw en Visserij|OVO000082
DVR000003005|Erkenning als vereniging of organisatie voor stamboekwerking of vereenvoudigd beheer|Departement Landbouw en Visserij|OVO000082
DVR000003006|Aanvragen van bemonsteringen voor kwaliteitscontrole teeltmateriaal|Departement Landbouw en Visserij|OVO000082
DVR000003007|Directe steun - jonge landbouwer|Departement Landbouw en Visserij|OVO000082
DVR000003008|Directe steun - vergroening|Departement Landbouw en Visserij|OVO000082
DVR000003009|Directe steun- basisbetaling|Departement Landbouw en Visserij|OVO000082
DVR000003010|Financieringsinstrument voor de Vlaamse Visserij- en aquacultuursector: projectsteun|Departement Landbouw en Visserij|OVO000082
DVR000003011|Inschrijving van rassen van landbouw-, groente- en fruitgewassen|Departement Landbouw en Visserij|OVO000082
DVR000003012|Inschrijving van teelten voor productie van zaaizaad en pootgoed|Departement Omgeving|OVO003323
DVR000003013|Waarborgen Vlaams Landbouwinvesteringsfonds|Departement Omgeving|OVO003323
DVR000003014|VLAREM wegwijzer|Departement Omgeving|OVO003323
DVR000003015|Kennisgeving zendantennes radioamateur|Departement Omgeving|OVO003323
DVR000003016|Erkenning voor verenigingen voor projecten met een meerwaarde voor natuur en milieu|Departement Omgeving|OVO003323
DVR000003017|Milieunavigator|Departement Omgeving|OVO003323
DVR000003018|Lage emissiezone: systeem voor handhaving|Departement Omgeving|OVO003323
DVR000003019|Advies of Milieueffectrapportage nodig is|Departement Omgeving|OVO003323
DVR000003020|Advies of ruimtelijk veiligheidrapport nodig is|Departement Omgeving|OVO003323
DVR000003021|Bepaling Sevesostatus|Departement Omgeving|OVO003323
DVR000003022|Conformiteitsattest zendantennes|Departement Omgeving|OVO003323
DVR000003023|Invordering retributies erkenningen|Departement Omgeving|OVO003323
DVR000003024|Ruimtelijk Uitvoeringsplan|Departement Omgeving|OVO003323
DVR000003025|Stiltegebieden|Departement Omgeving|OVO003323
DVR000003026|Columbus (studiekeuzebegeleiding)|Departement Onderwijs en Vorming|OVO000049
DVR000003027|Slachtofferonthaal bij een gerechtelijke procedure|Departement Welzijn, Volksgezondheid en Gezin|OVO000056
DVR000003028|Vlaams opleidingsverlof|Departement Werk en Sociale Economie|OVO000076
DVR000003029|Onderzoekspremie voor opmaak beheersplan|Onroerend Erfgoed|OVO004813
DVR000003030|Advies voor vergunningsplichtige handelingen|Onroerend Erfgoed|OVO004813
DVR000003031|Metaaldetectievondsten melden|Onroerend Erfgoed|OVO004813
DVR000003032|Archeologisch traject bij vergunningsaanvragen|Onroerend Erfgoed|OVO004813
DVR000003033|Archeologisch traject bij wetenschappelijk onderzoek|Onroerend Erfgoed|OVO004813
DVR000003034|Beheersplan opmaken|Onroerend Erfgoed|OVO004813
DVR000003035|Beschermingsprocedure|Onroerend Erfgoed|OVO004813
DVR000003036|Erfgoedlening|Onroerend Erfgoed|OVO004813
DVR000003037|Toelatingen voor niet-vergunningsplichtige handelingen|Onroerend Erfgoed|OVO004813
DVR000003038|Toevalsvondsten melden|Onroerend Erfgoed|OVO004813
DVR000003039|Vermindering personenbelasting|Onroerend Erfgoed|OVO004813
