Id|NaamAflopend sorteren|nieuwe verantwoordelijke entiteit|nieuwe OVO-code verantw ent
DVR000002225|Groeifinanciering|ParticipatieMaatschappij Vlaanderen|OVO000044
DVR000002226|Voordelige lening aan bedrijf uit de sociale economie (Sociaal Investeringsfonds)|ParticipatieMaatschappij Vlaanderen|OVO000044
DVR000002227|Een gekend kind adopteren|Vlaams Centrum voor Adoptie|OVO000376
DVR000002228|Een ongekend kind adopteren|Vlaams Centrum voor Adoptie|OVO000376
DVR000002229|Erkenning sociale huisvestingsmaatschappijen|Wonen-Vlaanderen|OVO000106
DVR000002230|Tegemoetkoming in kosten kinderopvang voor werkzoekenden in opleiding|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000002231|Tegemoetkoming voor werkgevers die outplacementbegeleiding aanbieden|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000002232|Stimulanspremie voor werkzoekenden in opleiding|Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding|OVO000078
DVR000002233|Subsidies voor de omkadering van arbeidszorgmedewerkers|Departement Werk en Sociale Economie|OVO000076
DVR000002234|Grafconcessies en concessies voor columbaria en urnenvelden|Agentschap Binnenlands Bestuur|OVO001835
DVR000002235|Erkenning als natuurreservaat|Agentschap voor Natuur en Bos|OVO000089
DVR000002236|Erkenning als terreinbeherende natuurvereniging|Agentschap voor Natuur en Bos|OVO000089
DVR000002238|Erkenning en subsidiëring van integratiecentra|Gelijke Kansen, Integratie en Inburgering|OVO001706
DVR000002239|Erkenning en subsidiering van opvangcentra voor vogels en wilde dieren|Agentschap voor Natuur en Bos|OVO000089
DVR000002240|Erkenning en subsidiëring van de ondersteuningscentra en het overlegcentrum voor etnisch-culturele minderheden|Gelijke Kansen, Integratie en Inburgering|OVO001706
DVR000002241|Erkenning als centrum voor het depollueren, ontmantelen en vernietigen van afgedankte voertuigen|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000002242|Waarborgregeling tot 1,5 miljoen euro|ParticipatieMaatschappij Vlaanderen|OVO000044
DVR000002243|Plaatsing van een jongere in een gemeenschapsinstelling|Jongerenwelzijn|OVO000058
DVR000002244|Verplichte verwarmingsaudit voor cv-installatie die ouder is dan 5 jaar|Departement Omgeving|OVO003323
DVR000002245|Premie voor het installeren van een roetfilter in oudere dieselwagens|Departement Omgeving|OVO003323
DVR000002246|Erkenning als laboratorium voor afvalstoffen, andere materialen en bodemstalen|Openbare Vlaamse Afvalstoffenmaatschappij|OVO000091
DVR000002247|Erkenning als uitzendbureau|Departement Werk en Sociale Economie|OVO000076
DVR000002248|Erkenning als ARKIV|ParticipatieMaatschappij Vlaanderen|OVO000044
DVR000002249|Erkenning getuigschrift/diploma na leertijd|Vlaams Agentschap voor Ondernemersvorming - Syntra Vlaanderen|OVO000079
DVR000002250|Erkenning getuigschrift/diploma ondernemersopleiding|Vlaams Agentschap voor Ondernemersvorming - Syntra Vlaanderen|OVO000079
DVR000002251|Registratie als dienstverlener in het kader van de kmo-portefeuille|Agentschap Innoveren en Ondernemen|OVO000039
DVR000002252|Erkenning van testcentra voor het leveren van ervaringsbewijzen|Afdeling ESF en Duurzaam Ondernemen|OVO002958
DVR000002253|Erkenning van een producent van vegetatief teeltmateriaal van wijnstokken|Departement Landbouw en Visserij|OVO000082
DVR000002254|Afschotplan voor grofwild|Agentschap voor Natuur en Bos|OVO000089
DVR000002255|Erkenning van lokale geloofsgemeenschappen|Agentschap Binnenlands Bestuur|OVO001835
DVR000002256|Subsidies aan verenigingen voor projecten met een meerwaarde voor natuur en milieu|Departement Omgeving|OVO003323
