Id|ExportNaarOrafin|NaamAflopend sorteren|ipdc-ID-link|Alternatieve naam ipdc (=titel)
DVR000002160|False|Begeleiding van inburgeraars (het Inburgeringstraject)|193|Begeleiding van inburgeraars (het Inburgeringstraject)
DVR000002161|False|Verplichte keuring van de waterleidingen bij nieuwbouw en renovatie|194|Verplichte keuring van de waterleidingen bij nieuwbouw en renovatie
DVR000002162|False|Erkenning van een wildbeheereenheid|195|Erkenning van een wildbeheereenheid
DVR000002163|False|Premie voor het behalen van een diploma secundair onderwijs via het volwassenenonderwijs|197|Premie voor het behalen van een diploma secundair onderwijs via het volwassenenonderwijs
DVR000002164|False|Verhoogde vermindering van de onroerende voorheffing voor bescheiden woning|201|Verhoogde vermindering van de onroerende voorheffing voor bescheiden woning
DVR000002165|False|Eurovignet voor vrachtwagens|202|Eurovignet voor vrachtwagens
DVR000002166|False|Ophalen GFT|203|Ophalen GFT
DVR000002167|False|Erkenning van mestvoerders|204|Erkenning van mestvoerders
DVR000002168|False|Registratie van verzenders van meststoffen|205|Registratie van verzenders van meststoffen
DVR000002169|False|Aangifte bij de Mestbank|206|Aangifte bij de Mestbank
DVR000002170|False|Subsidies in het kader van cultuurkuur en dynamo3|208|Subsidies in het kader van cultuurkuur en dynamo3
DVR000002171|False|Startbanenproject 'Scholen voor Jongeren - Jongeren voor Scholen' voor een positief schoolklimaat|209|Startbanenproject 'Scholen voor Jongeren - Jongeren voor Scholen' voor een positief schoolklimaat
DVR000002172|False|Lerarenkaart|210|Lerarenkaart
DVR000002173|False|Startbanenproject Verkeersveiligheid voor veiliger woon-schoolverkeer|211|Startbanenproject Verkeersveiligheid voor veiliger woon-schoolverkeer
DVR000002174|False|Bevolkingsonderzoek bij pasgeborenen naar aangeboren aandoeningen via een bloedonderzoek|212|Bevolkingsonderzoek bij pasgeborenen naar aangeboren aandoeningen via een bloedonderzoek
DVR000002175|False|Erasmus uitwisselingsprogramma en Erasmusbeurs om in het buitenland te studeren|213|Erasmus uitwisselingsprogramma en Erasmusbeurs om in het buitenland te studeren
DVR000002176|False|Aanvraag tot onderzoek van het binnenmilieu in een woning of openbaar gebouw|214|Aanvraag tot onderzoek van het binnenmilieu in een woning of openbaar gebouw
DVR000002177|False|Energieprestatiecertificaat voor een publiek gebouw|216|Energieprestatiecertificaat voor een publiek gebouw
DVR000002178|False|Jaarlijkse verkeersbelasting voor aan te geven voertuigen|217|Jaarlijkse verkeersbelasting voor aan te geven voertuigen
DVR000002179|False|Erkenning van bedrijfsgezondheidsdiensten|221|Erkenning van bedrijfsgezondheidsdiensten
DVR000002180|False|Gratis controle van putwater bij eigen grondwaterwinning|222|Gratis controle van putwater bij eigen grondwaterwinning
DVR000002181|False|Individuele Beroepsopleiding (IBO) voor werkzoekenden|223|Individuele Beroepsopleiding (IBO) voor werkzoekenden
DVR000002182|False|Ontheffing van loodsplicht voor kleine zeeschepen|225|Ontheffing van loodsplicht voor kleine zeeschepen
DVR000002183|False|Jaarlijkse verkeersbelasting voor personenwagens en aanverwante voertuigen|227|Jaarlijkse verkeersbelasting voor personenwagens en aanverwante voertuigen
DVR000002184|False|Onroerende voorheffing|228|Onroerende voorheffing
DVR000002185|False|Heffing op de winning van grondwater|235|Heffing op de winning van grondwater
DVR000002186|False|Erkenning als Vlaams ontwikkelingsfonds voor microfinanciering in de ontwikkelingssamenwerking|236|Erkenning als Vlaams ontwikkelingsfonds voor microfinanciering in de ontwikkelingssamenwerking
DVR000002187|False|Vergunning voor watervang|238|Vergunning voor watervang
DVR000002188|False|Sociaal tarief en vrijstelling van de heffing op de waterverontreiniging|241|Sociaal tarief en vrijstelling van de heffing op de waterverontreiniging
DVR000002189|False|Omgevingsvergunning voor het wijzigen van kleine landschapselementen of vegetaties|242|Omgevingsvergunning voor het wijzigen van kleine landschapselementen of vegetaties
DVR000002190|False|Omnipas 65+|245|Omnipas 65+
DVR000002191|False|Kaart voor kosteloze begeleider van een persoon met een handicap op het openbaar vervoer|246|Kaart voor kosteloze begeleider van een persoon met een handicap op het openbaar vervoer
DVR000002192|False|Gratis abonnement van De Lijn voor personen met een handicap|247|Gratis abonnement van De Lijn voor personen met een handicap
DVR000002193|False|Buzzy Pazz of Omnipas 'Vervoersgarantie' (VG)|248|Buzzy Pazz of Omnipas 'Vervoersgarantie' (VG)
DVR000002194|False|Euregio-ticket (dagpas bus en trein gebied Euregio Maas - Rijn)|249|Euregio-ticket (dagpas bus en trein gebied Euregio Maas - Rijn)
DVR000002195|False|Gratis abonnement van NMBS en De Lijn voor oorlogsinvaliden en oud-strijders|250|Gratis abonnement van NMBS en De Lijn voor oorlogsinvaliden en oud-strijders
DVR000002196|False|Attest voor personenvervoer voor eigen rekening|252|Attest voor personenvervoer voor eigen rekening
DVR000002197|False|Machtiging voor de tijdelijke vervanging van een voertuig van een taxidienst of verhuurdienst|253|Machtiging voor de tijdelijke vervanging van een voertuig van een taxidienst of verhuurdienst
DVR000002198|False|Vergunning voor het uitbaten van een taxidienst|254|Vergunning voor het uitbaten van een taxidienst
DVR000002199|False|Vergunning voor de verhuur van voertuigen met bestuurder|255|Vergunning voor de verhuur van voertuigen met bestuurder
DVR000002200|False|Vergunning voor het organiseren van grensoverschrijdend geregeld vervoer|257|Vergunning voor het organiseren van grensoverschrijdend geregeld vervoer
DVR000002201|False|Erkenning en subsidiëring van kunstenaars en professionele kunstenorganisaties|259|Erkenning en subsidiëring van kunstenaars en professionele kunstenorganisaties
DVR000002202|False|Erkenning en subsidiëring van sportfederaties en organisaties voor sportieve vrijetijdsbesteding|261|Erkenning en subsidiëring van sportfederaties en organisaties voor sportieve vrijetijdsbesteding
DVR000002203|False|Erkenning en vergunning van een radio-omroep|263|Erkenning en vergunning van een radio-omroep
DVR000002204|False|Praktische ondersteuning voor sportpromotionele evenementen|265|Praktische ondersteuning voor sportpromotionele evenementen
DVR000002205|False|Subsidiedatabank voor ondernemingen|268|Subsidiedatabank voor ondernemingen
DVR000002206|False|Aspirantenmandaat|272|Aspirantenmandaat
DVR000002207|False|Steun voor kmo's bij toepassing van milieu- en energievriendelijke technologie (PRODEM)|274|Steun voor kmo's bij toepassing van milieu- en energievriendelijke technologie (PRODEM)
DVR000002208|False|Investering van risicokapitaal in beloftevolle kmo's (Arkimedes)|276|Investering van risicokapitaal in beloftevolle kmo's (Arkimedes)
DVR000002209|False|Investering in een creatieve onderneming (CultuurInvest)|277|Investering in een creatieve onderneming (CultuurInvest)
DVR000002210|False|Vergunning of overeenkomst om bijzondere vormen van geregeld vervoer te organiseren|283|Vergunning of overeenkomst om bijzondere vormen van geregeld vervoer te organiseren
DVR000002211|False|Ontheffing van loodsplicht voor grote zeeschepen|284|Ontheffing van loodsplicht voor grote zeeschepen
DVR000002212|False|Vergunning voor het privégebruik van waterwegen en hun aanhorigheden|285|Vergunning voor het privégebruik van waterwegen en hun aanhorigheden
DVR000002213|False|Buzzy Pazz of Omnipas 'Verhoogde Tegemoetkoming' (VT)|289|Buzzy Pazz of Omnipas 'Verhoogde Tegemoetkoming' (VT)
DVR000002214|False|Bemiddelaar Grootschalige Vlaamse Infrastructuurprojecten|290|Bemiddelaar Grootschalige Vlaamse Infrastructuurprojecten
DVR000002215|False|Subsidies voor duurzaam woon-werkverkeer via het Pendelfonds|292|Subsidies voor duurzaam woon-werkverkeer via het Pendelfonds
DVR000002216|False|Subsidie voor een actieprogramma duurzame mobiliteit van een niet-erkende mobiliteitsvereniging|293|Subsidie voor een actieprogramma duurzame mobiliteit van een niet-erkende mobiliteitsvereniging
DVR000002217|False|Doctoraatsbeurs strategisch basisonderzoek|296|Doctoraatsbeurs strategisch basisonderzoek
DVR000002218|False|Klinische doctoraatsbeurs|299|Klinische doctoraatsbeurs
DVR000002219|False|Bijzondere doctoraatsbeurs|300|Bijzondere doctoraatsbeurs
DVR000002220|False|Mandaat postdoctoraal onderzoeker|301|Mandaat postdoctoraal onderzoeker
DVR000002221|False|Fundamenteel klinisch mandaat|302|Fundamenteel klinisch mandaat
DVR000002222|False|Krediet voor individuele onderzoeker|303|Krediet voor individuele onderzoeker
DVR000002223|False|Steun voor wetenschappelijke internationale samenwerking en contacten|306|Steun voor wetenschappelijke internationale samenwerking en contacten
DVR000002224|False|Waarborgregeling boven 1,5 miljoen euro|314|Waarborgregeling boven 1,5 miljoen euro
DVR000002225|False|Groeifinanciering|316|Groeifinanciering
DVR000002226|False|Voordelige lening aan bedrijf uit de sociale economie (Sociaal Investeringsfonds)|320|Voordelige lening aan bedrijf uit de sociale economie (Sociaal Investeringsfonds)
DVR000002227|False|Een gekend kind adopteren|323|Een gekend kind adopteren
DVR000002228|False|Een ongekend kind adopteren|324|Een ongekend kind adopteren
DVR000002229|False|Erkenning sociale huisvestingsmaatschappijen|329|Erkenning sociale huisvestingsmaatschappijen
DVR000002230|False|Tegemoetkoming in kosten kinderopvang voor werkzoekenden in opleiding|331|Tegemoetkoming in kosten kinderopvang voor werkzoekenden in opleiding
DVR000002231|False|Tegemoetkoming voor werkgevers die outplacementbegeleiding aanbieden|333|Tegemoetkoming voor werkgevers die outplacementbegeleiding aanbieden
DVR000002232|False|Stimulanspremie voor werkzoekenden in opleiding|337|Stimulanspremie voor werkzoekenden in opleiding
DVR000002233|False|Subsidies voor de omkadering van arbeidszorgmedewerkers|345|Subsidies voor de omkadering van arbeidszorgmedewerkers
DVR000002234|False|Grafconcessies en concessies voor columbaria en urnenvelden|346|Grafconcessies en concessies voor columbaria en urnenvelden
DVR000002235|False|Erkenning als natuurreservaat|347|Erkenning als natuurreservaat
DVR000002236|False|Erkenning als terreinbeherende natuurvereniging|348|Erkenning als terreinbeherende natuurvereniging
DVR000002237|False|Erkenning en subsidiëring van bosgroepen (verenigingen van boseigenaars)|349|Erkenning en subsidiëring van bosgroepen (verenigingen van boseigenaars)
DVR000002238|False|Erkenning en subsidiëring van integratiecentra|350|Erkenning en subsidiëring van integratiecentra
DVR000002239|False|Erkenning en subsidiering van opvangcentra voor vogels en wilde dieren|351|Erkenning en subsidiering van opvangcentra voor vogels en wilde dieren
DVR000002240|False|Erkenning en subsidiëring van de ondersteuningscentra en het overlegcentrum voor etnisch-culturele minderheden|354|Erkenning en subsidiëring van de ondersteuningscentra en het overlegcentrum voor etnisch-culturele minderheden
DVR000002241|False|Erkenning als centrum voor het depollueren, ontmantelen en vernietigen van afgedankte voertuigen|359|Erkenning als centrum voor het depollueren, ontmantelen en vernietigen van afgedankte voertuigen
DVR000002242|False|Waarborgregeling tot 1,5 miljoen euro|360|Waarborgregeling tot 1,5 miljoen euro
DVR000002243|False|Plaatsing van een jongere in een gemeenschapsinstelling|363|Plaatsing van een jongere in een gemeenschapsinstelling
DVR000002244|False|Verplichte verwarmingsaudit voor cv-installatie die ouder is dan 5 jaar|372|Verplichte verwarmingsaudit voor cv-installatie die ouder is dan 5 jaar
DVR000002245|False|Premie voor het installeren van een roetfilter in oudere dieselwagens|373|Premie voor het installeren van een roetfilter in oudere dieselwagens
DVR000002246|False|Erkenning als laboratorium voor afvalstoffen, andere materialen en bodemstalen|375|Erkenning als laboratorium voor afvalstoffen, andere materialen en bodemstalen
DVR000002247|False|Erkenning als uitzendbureau|379|Erkenning als uitzendbureau
DVR000002248|False|Erkenning als ARKIV|381|Erkenning als ARKIV
DVR000002249|False|Erkenning getuigschrift/diploma na leertijd|384|Erkenning getuigschrift/diploma na leertijd
DVR000002250|False|Erkenning getuigschrift/diploma ondernemersopleiding|385|Erkenning getuigschrift/diploma ondernemersopleiding
DVR000002251|False|Registratie als dienstverlener in het kader van de kmo-portefeuille|386|Registratie als dienstverlener in het kader van de kmo-portefeuille
DVR000002252|False|Erkenning van testcentra voor het leveren van ervaringsbewijzen|387|Erkenning van testcentra voor het leveren van ervaringsbewijzen
DVR000002253|False|Erkenning van een producent van vegetatief teeltmateriaal van wijnstokken|392|Erkenning van een producent van vegetatief teeltmateriaal van wijnstokken
DVR000002254|False|Afschotplan voor grofwild|399|Afschotplan voor grofwild
DVR000002255|False|Erkenning van lokale geloofsgemeenschappen|402|Erkenning van lokale geloofsgemeenschappen
DVR000002256|False|Subsidies aan verenigingen voor projecten met een meerwaarde voor natuur en milieu|403|Subsidies aan verenigingen voor projecten met een meerwaarde voor natuur en milieu
DVR000002257|False|Milieuheffing voor het storten en verbranden van afvalstoffen|405|Milieuheffing voor het storten en verbranden van afvalstoffen
DVR000002258|False|Erkenning van kopers en exploitanten van hout in openbare bossen|409|Erkenning van kopers en exploitanten van hout in openbare bossen
DVR000002259|False|Verzekering burgerlijke aansprakelijkheid voor beheerders van bossen en natuurreservaten|415|Verzekering burgerlijke aansprakelijkheid voor beheerders van bossen en natuurreservaten
DVR000002260|False|Vergoeding voor schade veroorzaakt door wild of door een beschermde diersoort|416|Vergoeding voor schade veroorzaakt door wild of door een beschermde diersoort
DVR000002261|False|Compensatieplicht bij ontbossing|417|Compensatieplicht bij ontbossing
DVR000002262|False|Kapmachtiging|418|Kapmachtiging
DVR000002263|False|Erkenning als bodemsaneringsdeskundige type 1 of type 2|421|Erkenning als bodemsaneringsdeskundige type 1 of type 2
DVR000002264|False|Erkenning of melding en subsidiëring van de verenigingen van gebruikers en mantelzorgers|423|Erkenning of melding en subsidiëring van de verenigingen van gebruikers en mantelzorgers
DVR000002265|False|Subsidie voor een regenwaterput (hemelwaterput)|424|Subsidie voor een regenwaterput (hemelwaterput)
DVR000002266|False|Toestemming of machtiging voor een activiteit in een bos of natuurreservaat|426|Toestemming of machtiging voor een activiteit in een bos of natuurreservaat
DVR000002267|False|Verklaring van selectieve sloop of ontmanteling|427|Verklaring van selectieve sloop of ontmanteling
DVR000002268|False|Toelating tot invoer van dierlijke bijproducten (DBP) vanuit een andere Europese lidstaat|430|Toelating tot invoer van dierlijke bijproducten (DBP) vanuit een andere Europese lidstaat
DVR000002269|False|Melden van de overdracht van een risicogrond|431|Melden van de overdracht van een risicogrond
DVR000002270|False|Een sociale woning huren bij een sociale huisvestingsmaatschappij|432|Een sociale woning huren bij een sociale huisvestingsmaatschappij
DVR000002271|False|Een sociale woning huren bij een sociaal verhuurkantoor|434|Een sociale woning huren bij een sociaal verhuurkantoor
DVR000002272|False|Verplichte haalbaarheidsstudie naar alternatieve energiesystemen voor grote gebouwen|435|Verplichte haalbaarheidsstudie naar alternatieve energiesystemen voor grote gebouwen
DVR000002273|False|Beheerovereenkomst tussen de Vlaamse Landmaatschappij en landbouwers|436|Beheerovereenkomst tussen de Vlaamse Landmaatschappij en landbouwers
DVR000002274|False|Erkenning van de psychiatrische verzorgingstehuizen|440|Erkenning van de psychiatrische verzorgingstehuizen
DVR000002275|False|Adviezen inzake de relatie tussen de kwaliteit van het milieu en gezondheid|443|Adviezen inzake de relatie tussen de kwaliteit van het milieu en gezondheid
DVR000002276|False|Vaccins gratis ter beschikking van de vaccinatoren|445|Vaccins gratis ter beschikking van de vaccinatoren
DVR000002277|False|Vaccinatiekaart|446|Vaccinatiekaart
DVR000002278|False|Normen voor ziekenhuizen|448|Normen voor ziekenhuizen
DVR000002279|False|Subsidies voor investeringen in welzijns- en gezondheidsvoorzieningen|452|Subsidies voor investeringen in welzijns- en gezondheidsvoorzieningen
DVR000002280|False|Overlegplatforms Geestelijke Gezondheidszorg|455|Overlegplatforms Geestelijke Gezondheidszorg
DVR000002281|False|Subsidiëring van projecten en bijzondere initiatieven inzake Jongerenwelzijn|458|Subsidiëring van projecten en bijzondere initiatieven inzake Jongerenwelzijn
DVR000002282|False|Heffing op de waterverontreiniging|462|Heffing op de waterverontreiniging
DVR000002283|False|Voordelige lening voor ondernemingen (Win-winlening)|466|Voordelige lening voor ondernemingen (Win-winlening)
DVR000002284|False|Subsidie voor de verwarringstechniek in de fruitteelt|472|Subsidie voor de verwarringstechniek in de fruitteelt
DVR000002285|False|Subsidie voor mechanische onkruidbestrijding|473|Subsidie voor mechanische onkruidbestrijding
DVR000002286|False|Premie voor het behoud van de gespecialiseerde zoogkoeienhouderij|474|Premie voor het behoud van de gespecialiseerde zoogkoeienhouderij
DVR000002287|False|Subsidie voor de bescherming van de genetische diversiteit van rundveerassen|475|Subsidie voor de bescherming van de genetische diversiteit van rundveerassen
DVR000002288|False|Subsidie voor de bescherming van de genetische diversiteit van schapenrassen|476|Subsidie voor de bescherming van de genetische diversiteit van schapenrassen
DVR000002289|False|Subsidie voor de bedrijfseigen teelt van plantaardige eiwitbronnen (vlinderbloemigen)|479|Subsidie voor de bedrijfseigen teelt van plantaardige eiwitbronnen (vlinderbloemigen)
DVR000002290|False|Subsidie voor milieuvriendelijke sierteelt|481|Subsidie voor milieuvriendelijke sierteelt
DVR000002291|False|Subsidie voor de bescherming van de genetische diversiteit van oude rassen hoogstammige fruitbomen|482|Subsidie voor de bescherming van de genetische diversiteit van oude rassen hoogstammige fruitbomen
DVR000002292|False|Erkenning en subsidiëring van de instellingen voor schuldbemiddeling|485|Erkenning en subsidiëring van de instellingen voor schuldbemiddeling
DVR000002293|False|Buzzy Pazz, van 6 tot 24 jaar|486|Buzzy Pazz, van 6 tot 24 jaar
DVR000002294|False|Legalisatie van Vlaamse getuigschriften en diploma's|487|Legalisatie van Vlaamse getuigschriften en diploma's
DVR000002295|False|Huur van een betaalbare woning in de Vlaamse rand rond Brussel via Vlabinvest|489|Huur van een betaalbare woning in de Vlaamse rand rond Brussel via Vlabinvest
DVR000002296|False|Subsidie voor ontwikkelingseducatie|491|Subsidie voor ontwikkelingseducatie
DVR000002297|False|Grondstofverklaring voor gebruik van een bepaald materiaal als grondstof|492|Grondstofverklaring voor gebruik van een bepaald materiaal als grondstof
DVR000002298|False|Integraal Milieujaarverslag (IMJV)|493|Integraal Milieujaarverslag (IMJV)
DVR000002299|False|Registratie als vervoerder van afvalstoffen|494|Registratie als vervoerder van afvalstoffen
DVR000002300|False|Registratie als inzamelaar, handelaar of makelaar van afvalstoffen|495|Registratie als inzamelaar, handelaar of makelaar van afvalstoffen
DVR000002301|False|Vermindering van de onroerende voorheffing voor grootoorlogsverminkten|496|Vermindering van de onroerende voorheffing voor grootoorlogsverminkten
DVR000002302|False|Vergunning voor invoer, uitvoer en doorvoer van strategische goederen|497|Vergunning voor invoer, uitvoer en doorvoer van strategische goederen
DVR000002303|False|Premie van de netbeheerder voor isolatie van een buitenmuur langs de buitenzijde|498|Premie van de netbeheerder voor isolatie van een buitenmuur langs de buitenzijde
DVR000002304|False|Premie van de netbeheerder voor de isolatie van een spouwmuur|499|Premie van de netbeheerder voor de isolatie van een spouwmuur
DVR000002305|False|Premie van de netbeheerder voor vloerisolatie of kelderisolatie|500|Premie van de netbeheerder voor vloerisolatie of kelderisolatie
DVR000002306|False|Premie van de netbeheerder voor een warmtepomp|501|Premie van de netbeheerder voor een warmtepomp
DVR000002307|False|Kortingbon voor beschermde afnemers bij aankoop van een energiezuinige wasmachine of koelkast|502|Kortingbon voor beschermde afnemers bij aankoop van een energiezuinige wasmachine of koelkast
DVR000002308|False|Vrijstelling van de bijdrage voor de zuivering van het afvalwater|504|Vrijstelling van de bijdrage voor de zuivering van het afvalwater
DVR000002309|False|Speciale onderwijsleermiddelen voor leerlingen, studenten of cursisten met een handicap|505|Speciale onderwijsleermiddelen voor leerlingen, studenten of cursisten met een handicap
DVR000002310|False|FSC-boscertificaat|506|FSC-boscertificaat
DVR000002311|False|Subsidies voor sportevenementen|507|Subsidies voor sportevenementen
DVR000002312|False|Overnamesteun voor de jonge landbouwer|508|Overnamesteun voor de jonge landbouwer
DVR000002313|False|Investeringssteun voor land- en tuinbouwers|509|Investeringssteun voor land- en tuinbouwers
DVR000002314|False|Investeringssteun aan de agrovoedingssector|512|Investeringssteun aan de agrovoedingssector
DVR000002315|False|Investeringssteun aan de omkaderingssector voor land- en tuinbouw|513|Investeringssteun aan de omkaderingssector voor land- en tuinbouw
DVR000002316|False|Omgevingsvergunning voor de exploitatie van ingedeelde inrichtingen of activiteiten|517|Omgevingsvergunning voor de exploitatie van ingedeelde inrichtingen of activiteiten
DVR000002317|False|Bodemattest|518|Bodemattest
DVR000002318|False|Erkenning van controleartsen in het kader van dopingbestrijding|520|Erkenning van controleartsen in het kader van dopingbestrijding
DVR000002319|False|Subsidie voor bijzondere journalistiek|522|Subsidie voor bijzondere journalistiek
DVR000002320|False|Subsidies voor de audiovisuele sector|523|Subsidies voor de audiovisuele sector
DVR000002321|False|Subsidies voor de letterensector|524|Subsidies voor de letterensector
DVR000002322|False|Uitwisseling van plannen van ondergrondse kabels en leidingen (Kabel en Leiding Informatieportaal KLIP)|527|Uitwisseling van plannen van ondergrondse kabels en leidingen (Kabel en Leiding Informatieportaal KLIP)
DVR000002323|False|Premie 50+|528|Premie 50+
DVR000002324|False|Planologisch attest|530|Planologisch attest
DVR000002325|False|Milieueffectrapport (MER)|532|Milieueffectrapport (MER)
DVR000002326|False|Conformiteitsattest voor (huur)woningen|536|Conformiteitsattest voor (huur)woningen
DVR000002327|False|Heffing op de leegstand en verwaarlozing van bedrijfsgebouwen|537|Heffing op de leegstand en verwaarlozing van bedrijfsgebouwen
DVR000002328|False|Erkenning als laboratorium voor de analyse van water, lucht of bodem (deeldomein bodembescherming)|538|Erkenning als laboratorium voor de analyse van water, lucht of bodem (deeldomein bodembescherming)
DVR000002329|False|Erkenning als opleidingscentrum brandertechnici of stookolietechnici|539|Erkenning als opleidingscentrum brandertechnici of stookolietechnici
DVR000002330|False|Erkenning als milieucoördinator|540|Erkenning als milieucoördinator
DVR000002331|False|Erkenning als opleidingscentrum voor de vorming van milieucoördinatoren|541|Erkenning als opleidingscentrum voor de vorming van milieucoördinatoren
DVR000002332|False|Erkenning als veiligheidsrapporteringsdeskundige (VR-deskundige)|542|Erkenning als veiligheidsrapporteringsdeskundige (VR-deskundige)
DVR000002333|False|Erkenning als milieudeskundige|543|Erkenning als milieudeskundige
DVR000002334|False|Certificering van examencentra koeltechniek|544|Certificering van examencentra koeltechniek
DVR000002335|False|Erkenning van technici en bedrijven voor brandbeveiligingsapparatuur|546|Erkenning van technici en bedrijven voor brandbeveiligingsapparatuur
DVR000002336|False|Erkenning als opleidingscentrum voor klimaatregelingssytemen in bepaalde motorvoertuigen|547|Erkenning als opleidingscentrum voor klimaatregelingssytemen in bepaalde motorvoertuigen
DVR000002337|False|Planbatenheffing, belasting op de meerwaarde van een grond na een bestemmingswijziging|548|Planbatenheffing, belasting op de meerwaarde van een grond na een bestemmingswijziging
DVR000002338|False|Erkenning als technicus vloeibare brandstof, gasvormige brandstof en verwarmingsaudit|549|Erkenning als technicus vloeibare brandstof, gasvormige brandstof en verwarmingsaudit
DVR000002339|False|Erkenning als technicus stookolietanks|550|Erkenning als technicus stookolietanks
DVR000002340|False|Certificering van koeltechnici en koeltechnische bedrijven|551|Certificering van koeltechnici en koeltechnische bedrijven
DVR000002341|False|Meting van straling rond zendantennes|553|Meting van straling rond zendantennes
DVR000002342|False|Melding van de intentie tot hennepteelt|557|Melding van de intentie tot hennepteelt
DVR000002343|False|Kapitaalschadecompensatie voor eigenaars van landbouwgronden|558|Kapitaalschadecompensatie voor eigenaars van landbouwgronden
DVR000002344|False|Gebruikerscompensatie voor landbouwgronden|559|Gebruikerscompensatie voor landbouwgronden
DVR000002345|False|Identificatie als landbouwer|561|Identificatie als landbouwer
DVR000002346|False|Stageovereenkomst|564|Stageovereenkomst
DVR000002347|False|Erkenning als ruimtelijke planner|565|Erkenning als ruimtelijke planner
DVR000002348|False|Belasting op de inverkeerstelling (BIV)|566|Belasting op de inverkeerstelling (BIV)
DVR000002349|False|Premie van de netbeheerder voor dakisolatie of zoldervloerisolatie in een woning of appartement|567|Premie van de netbeheerder voor dakisolatie of zoldervloerisolatie in een woning of appartement
DVR000002350|False|Premie van de netbeheerder voor hoogrendementsglas in een woning of appartement|568|Premie van de netbeheerder voor hoogrendementsglas in een woning of appartement
DVR000002351|False|Premie van de netbeheerder voor een condensatieketel (voor beschermde afnemers)|569|Premie van de netbeheerder voor een condensatieketel (voor beschermde afnemers)
DVR000002352|False|Verkavelingsvergunning|570|Verkavelingsvergunning
DVR000002353|False|Erkenning tot energiedeskundige type A|571|Erkenning tot energiedeskundige type A
DVR000002354|False|Erkenning tot energiedeskundige type C|572|Erkenning tot energiedeskundige type C
DVR000002355|False|Erkenning tot energiedeskundige type B|573|Erkenning tot energiedeskundige type B
DVR000002356|False|Erkenning van een milieuvriendelijk toeristisch bedrijf (ecolabel De Groene Sleutel)|574|Erkenning van een milieuvriendelijk toeristisch bedrijf (ecolabel De Groene Sleutel)
DVR000002357|False|Erkenning van een kampeerautovriendelijk logies|576|Erkenning van een kampeerautovriendelijk logies
DVR000002358|False|Vergunning van een reisbureau of toeristisch verhuurkantoor|578|Vergunning van een reisbureau of toeristisch verhuurkantoor
DVR000002359|False|Stedenbouwkundig attest|579|Stedenbouwkundig attest
DVR000002360|False|Kooprecht voor huurders van een sociale huurwoning|580|Kooprecht voor huurders van een sociale huurwoning
DVR000002361|False|Attest ter vervanging van een verloren diploma of getuigschrift|581|Attest ter vervanging van een verloren diploma of getuigschrift
DVR000002362|False|Arbeidsvergunning|583|Arbeidsvergunning
DVR000002363|False|Toegankelijkheidslabel voor toegankelijk logies|585|Toegankelijkheidslabel voor toegankelijk logies
DVR000002364|False|Erkenning en vergunning van diensten en voorzieningen die ondersteuning bieden aan personen met een handicap|586|Erkenning en vergunning van diensten en voorzieningen die ondersteuning bieden aan personen met een handicap
DVR000002365|False|Erkenning van gidsen en reisleiders|599|Erkenning van gidsen en reisleiders
DVR000002366|False|Erkenning van een particuliere televisie-omroep|600|Erkenning van een particuliere televisie-omroep
DVR000002367|False|Budgetmeter|601|Budgetmeter
DVR000002368|False|Aanvullende verkeersbelasting voor LPG-installaties|602|Aanvullende verkeersbelasting voor LPG-installaties
DVR000002369|False|Hulplijn geweld, misbruik en kindermishandeling|603|Hulplijn geweld, misbruik en kindermishandeling
DVR000002370|False|Heffing op ongeschikte en onbewoonbare woningen|604|Heffing op ongeschikte en onbewoonbare woningen
DVR000002371|False|Erkenning en subsidiëring van de Logo's (Lokaal Gezondheids Overleg)|607|Erkenning en subsidiëring van de Logo's (Lokaal Gezondheids Overleg)
DVR000002372|False|Erkenning en subsidiëring van amateurkunsten|611|Erkenning en subsidiëring van amateurkunsten
DVR000002373|False|Subsidie voor sensibiliserende initiatieven van de Vlaamse Gebarentaal|612|Subsidie voor sensibiliserende initiatieven van de Vlaamse Gebarentaal
DVR000002374|False|Subsidies voor leesbevordering|613|Subsidies voor leesbevordering
DVR000002375|False|Subsidie voor verenigingen met een specifieke opdracht voor de cultuur-, jeugdwerk- en sportsector|617|Subsidie voor verenigingen met een specifieke opdracht voor de cultuur-, jeugdwerk- en sportsector
DVR000002376|False|Subsidie voor verenigingen voor culturele en sportieve participatie van gedetineerden|618|Subsidie voor verenigingen voor culturele en sportieve participatie van gedetineerden
DVR000002377|False|Erkenning en subsidiëring van organisaties voor sociaal-cultureel volwassenenwerk|619|Erkenning en subsidiëring van organisaties voor sociaal-cultureel volwassenenwerk
DVR000002378|False|Omgevingsvergunning voor stedenbouwkundige handelingen|620|Omgevingsvergunning voor stedenbouwkundige handelingen
DVR000002379|False|Erkenning van een fietsvriendelijk logies|621|Erkenning van een fietsvriendelijk logies
DVR000002380|False|Betalingsrechten voor de landbouw|622|Betalingsrechten voor de landbouw
DVR000002381|False|Erkenning als MER-deskundige|625|Erkenning als MER-deskundige
DVR000002382|False|Kennisgeving voor uitzending door een televisie-omroep|627|Kennisgeving voor uitzending door een televisie-omroep
DVR000002383|False|Attesten voor jeugdwerkers|628|Attesten voor jeugdwerkers
